name,sex,bearers,auto_pick,auto_count,alternatives,OVERRIDE
שר,F,82,שַׂר,89,שָׂר(2),
לאל,F,78,לְאֵל,15,לָאֵל(11) | לְאַל(1),
שרין,F,76,שִׂרְיֹן,1,שְׁרַיִן(1),
שבי,M,75,שְׁבִי,11,שֶׁבִי(4) | שֹׁבָי(2) | שָׂבֵי(2) | שֻׁבִי(1),
שמי,M,75,שְׁמִי,55,שַׁמַּי(5) | שְׁמֵי(4) | שִׂמִי(1) | שַׁמָּי(1),
מדי,F,75,מִדֵּי,14,מָדַי(7) | מָדָי(5),
עלית,F,75,עָלִיתָ,6,עֲלִיַּת(5) | עָלִית(3) | עִלִּית(1),
יגל,F,74,יָגֵל,5,יִגֶל(1),
נדיב,M,74,נָדִיב,7,נְדִיב(3),
ארד,F,73,אֵרֵד,3,אַרְדְּ(1),
דדי,M,73,דֹּדִי,3,דַּדֵּי(2) | דֹּדַי(1),
תמנה,F,73,תִּמְנָה,2,תִמְנֶה(1),
בתי,F,71,בָּתֵּי,21,בִּתִּי(15),
מי,F,71,מִי,333,מֵי(56),
שלמי,M,69,שַׁלְמֵי,1,שְׁלֹמִי(1) | שְׁלֻמֵי(1) | שַׁלְּמִי(1) | שַׁלְמָי(1),
ארי,F,68,אֲרִי,3,אֻרִי(1),
אל,F,64,אֶל,3541,אַל(582) | אֵל(247) | אֲל(1),
לאור,F,64,לְאוֹר,13,לָאוֹר(7) | לֵאוֹר(1),
נחל,F,64,נַחַל,46,נָחַל(4) | נִחַל(1) | נִחָל(1),
אלון,F,63,אֵלוֹן,6,אַלּוֹן(3),
אמרי,F,63,אִמְרֵי,18,אִמְרִי(8) | אֲמָרָי(4) | אֱמֹרִי(2) | אָמְרִי(2),
שמר,M,63,שֹׁמֵר,37,שְׁמֹר(12) | שָׁמַר(8) | שְׁמָר(2) | שָׁמֹר(2),
צרי,F,61,צָרֵי,4,צֳרִי(3) | צָרָי(3) | צֹרִי(2) | צָרַי(2),
פתחיה,M,60,פְּתַחְיָה,2,פְּתָחֶיהָ(1),
אחי,M,59,אֲחִי,37,אָחִי(25) | אֲחֵי(16) | אַחַי(15) | אֶחָי(2),
טוב,F,58,טוֹב,287,טוּב(12),
מורי,F,55,מוֹרָי,1,מוֹרִי(1),
אניה,F,55,אָנִיָּה,1,אֳנִיָּה(1),
רהב,F,53,רַהַב,3,רָהַב(3),
הרי,M,53,הָרֵי,22,הָרַי(4) | הָרָי(1),
אלוני,M,52,אַלּוֹנֵי,2,אֵלוֹנֵי(1),
לביא,F,51,לָבִיא,6,לְבִיָּא(1),
אולי,M,50,אוּלַי,44,אוּלָי(2) | אֱוִלִי(1),
ארץ,F,50,אֶרֶץ,379,אָרֶץ(110) | אָרֻץ(1),
ראם,F,49,רְאֵם,3,רָאָם(2),
נס,F,49,נָס,15,נֵס(13) | נֹס(1) | נַס(1),
שפי,F,49,שֶׁפִי,1,שְׁפִי(1),
רצון,M,48,רָצוֹן,15,רְצוֹן(3),
גבע,F,47,גֶּבַע,7,גָבַע(2),
אילון,F,46,אַיָּלוֹן,6,אֵילוֹן(2),
אוצר,F,45,אוֹצַר,4,אוֹצָר(1),
יערי,F,44,יַעְרֵי,1,יַעְרִי(1),
חסד,M,43,חֶסֶד,67,חָסֶד(12),
גאות,F,43,גֵּאוּת,6,גַּאֲוַת(1),
חבר,M,42,חֶבֶר,8,חָבֶר(3) | חָבֵר(2) | חִבַּר(1) | חֻבָּר(1),
שדה,M,42,שְׂדֵה,24,שָׂדֶה(21) | שָׂדָהּ(2) | שִׁדָּה(1),
אומר,M,40,אוֹמָר,2,אוֹמֵר(2) | אוֹמֶר(1),
יוטל,F,39,יוּטָל,1,יוּטַל(1),
קוה,M,35,קַוֵּה,5,קַוֺּה(1),
מל,F,35,מָל,2,מֹל(1),
אמן,F,34,אָמֵן,27,אֵמֻן(1) | אָמֹן(1) | אֹמֶן(1) | אָמָּן(1),
בנו,M,31,בְּנוֹ,235,בָּנוּ(39) | בְּנוּ(3),
שמש,F,27,שֶׁמֶשׁ,38,שָׁמֶשׁ(14),
כלב,M,26,כָּלֵב,26,כֶּלֶב(6) | כְּלֵב(5) | כָלֶב(1),
נסה,F,26,נִסָּה,2,נָסָה(1) | נְסָה(1),
עזה,F,26,עַזָּה,17,עֻזָּהּ(7) | עֻזֹּה(1),
צורי,F,25,צוּרִי,13,צוּרֵי(1),
עורי,F,23,עוּרִי,12,עוֹרִי(3),
גליתי,F,21,גִּלִּיתִי,2,גִּלֵּיתִי(1),
ברכי,F,16,בָּרֲכִי,5,בִּרְכַּי(4) | בִּרְכֵּי(1),
לאב,F,14,לְאָב,12,לְאַב(1),
